waterbody_name,taxa_name,ZIG_grouping,other_grouping,genus,species,invasive
TR,COLLOTHECA MUTABILIS,rotifer,NA,NA,COLLOTHECA MUTABILIS,NA
TR,COLURELLA,rotifer,NA,NA,COLURELLA,NA
TR,CONOCHILOIDES,rotifer,NA,NA,CONOCHILOIDES,NA
TR,CONOCHILUS,rotifer,NA,NA,CONOCHILUS,NA
TR,CONOCHILUS UNICORNIS,rotifer,NA,NA,CONOCHILUS UNICORNIS,NA
TR,FILINIA,rotifer,NA,NA,FILINIA,NA
TR,FILINIA TERMINALIS,rotifer,NA,NA,FILINIA TERMINALIS,NA
TR,GASTROPUS,rotifer,NA,NA,GASTROPUS,NA
TR,GASTROPUS HYPTOPUS,rotifer,NA,NA,GASTROPUS HYPTOPUS,NA
TR,GASTROPUS STYLIFER,rotifer,NA,NA,GASTROPUS STYLIFER,NA
TR,KELLICOTTIA,rotifer,NA,NA,KELLICOTTIA,NA
TR,KELLICOTTIA BOSTONIENSIS,rotifer,NA,NA,KELLICOTTIA BOSTONIENSIS,NA
TR,KELLICOTTIA LONGISPINA,rotifer,NA,NA,KELLICOTTIA LONGISPINA,NA
TR,KERATELLA,rotifer,NA,NA,KERATELLA,NA
TR,KERATELLA COCHLEARIS,rotifer,NA,NA,KERATELLA COCHLEARIS,NA
TR,KERATELLA COCHLEARIS F. TECTA,rotifer,NA,NA,KERATELLA COCHLEARIS F. TECTA,NA
TR,KERATELLA CRASSA,rotifer,NA,NA,KERATELLA CRASSA,NA
TR,KERATELLA EARLINAE,rotifer,NA,NA,KERATELLA EARLINAE,NA
TR,KERATELLA HIEMALIS,rotifer,NA,NA,KERATELLA HIEMALIS,NA
TR,KERATELLA QUADRATA,rotifer,NA,NA,KERATELLA QUADRATA,NA
TR,KERATELLA SERRULATA,rotifer,NA,NA,KERATELLA SERRULATA,NA
TR,KERATELLA TAUROCEPHALA,rotifer,NA,NA,KERATELLA TAUROCEPHALA,NA
TR,KERATELLA TESTUDO,rotifer,NA,NA,KERATELLA TESTUDO,NA
TR,KERATELLA TICINENSIS,rotifer,NA,NA,KERATELLA TICINENSIS,NA
TR,LECANE,rotifer,NA,NA,LECANE,NA
TR,LECANE CLARA,rotifer,NA,NA,LECANE CLARA,NA
TR,LECANE INERMIS,rotifer,NA,NA,LECANE INERMIS,NA
TR,LECANE TENUISETA,rotifer,NA,NA,LECANE TENUISETA,NA
TR,LEPADELLA,rotifer,NA,NA,LEPADELLA,NA
TR,LEPADELLA PATELLA,rotifer,NA,NA,LEPADELLA PATELLA,NA
TR,MONOSTYLA,rotifer,NA,NA,MONOSTYLA,NA
TR,MONOSTYLA LUNARIS,rotifer,NA,NA,MONOSTYLA LUNARIS,NA
TR,NOTHOLCA,rotifer,NA,NA,NOTHOLCA,NA
TR,NOTHOLCA ACUMINATA,rotifer,NA,NA,NOTHOLCA ACUMINATA,NA
TR,NOTHOLCA FOLIACEA,rotifer,NA,NA,NOTHOLCA FOLIACEA,NA
TR,NOTHOLCA MICHIGANENSIS,rotifer,NA,NA,NOTHOLCA MICHIGANENSIS,NA
TR,NOTHOLCA SQUAMULA,rotifer,NA,NA,NOTHOLCA SQUAMULA,NA
TR,NOTOMMATA,rotifer,NA,NA,NOTOMMATA,NA
TR,PLOESOMA,rotifer,NA,NA,PLOESOMA,NA
TR,PLOESOMA LENTICULARE,rotifer,NA,NA,PLOESOMA LENTICULARE,NA
TR,POLYARTHRA,rotifer,NA,NA,POLYARTHRA,NA
TR,POLYARTHRA DOLICHOPTERA,rotifer,NA,NA,POLYARTHRA DOLICHOPTERA,NA
TR,POLYARTHRA EURYPTERA,rotifer,NA,NA,POLYARTHRA EURYPTERA,NA
TR,POLYARTHRA MAJOR,rotifer,NA,NA,POLYARTHRA MAJOR,NA
TR,POLYARTHRA REMATA,rotifer,NA,NA,POLYARTHRA REMATA,NA
TR,POLYARTHRA VULGARIS,rotifer,NA,NA,POLYARTHRA VULGARIS,NA
TR,POMPHOLYX,rotifer,NA,NA,POMPHOLYX,NA
TR,SYNCHAETA,rotifer,NA,NA,SYNCHAETA,NA
TR,TRICHOCERCA,rotifer,NA,NA,TRICHOCERCA,NA
TR,TRICHOCERCA BIROSTRIS,rotifer,NA,NA,TRICHOCERCA BIROSTRIS,NA
TR,TRICHOCERCA CYLINDRICA,rotifer,NA,NA,TRICHOCERCA CYLINDRICA,NA
TR,TRICHOCERCA MULTICRINIS,rotifer,NA,NA,TRICHOCERCA MULTICRINIS,NA
TR,TRICHOCERCA PORCELLUS,rotifer,NA,NA,TRICHOCERCA PORCELLUS,NA
TR,TRICHOCERCA PUSILLA,rotifer,NA,NA,TRICHOCERCA PUSILLA,NA
TR,TRICHOCERCA ROUSSELETI,rotifer,NA,NA,TRICHOCERCA ROUSSELETI,NA
TR,TRICHOCERCA SIMILIS,rotifer,NA,NA,TRICHOCERCA SIMILIS,NA
TR,UNKNOWN ROTIFER,rotifer,NA,NA,UNKNOWN ROTIFER,NA
TR,UNKNOWN ROTIFER,unknown,NA,NA,UNKNOWN ROTIFER,NA
Tr,COPEPOD NAUPLII,nauplii,NA,NA,COPEPOD NAUPLII,NA
Tr,CYCLOPOID,cyclopoid,NA,NA,CYCLOPOID,NA
Tr,DIACYCLOPS THOMASI,cyclopoid,NA,NA,DIACYCLOPS THOMASI,NA
Tr,MESOCYCLOPS EDAX,cyclopoid,NA,NA,MESOCYCLOPS EDAX,NA
Tr,CALANOID,calanoid,NA,NA,CALANOID,NA
Tr,LEPTODIAPTOMUS MINUTUS,calanoid,NA,NA,LEPTODIAPTOMUS MINUTUS,NA
Tr,LEPTODIAPTOMUS SICILIS,calanoid,NA,NA,LEPTODIAPTOMUS SICILIS,NA
Tr,BOSMINIDAE,bosmina,NA,NA,BOSMINIDAE,NA
Tr,DAPHNIA,daphnia,NA,NA,DAPHNIA,NA
Tr,DAPHNIA MENDOTAE,daphnia,NA,NA,DAPHNIA MENDOTAE,NA
Tr,DAPHNIA LONGIREMIS,daphnia,NA,NA,DAPHNIA LONGIREMIS,NA
Tr,DIAPHANOSOMA BIRGEI,daphnia,NA,NA,DIAPHANOSOMA BIRGEI,NA
Tr,ASCOMORPHA OVALIS,rotifer,NA,NA,ASCOMORPHA OVALIS,NA
Tr,COLLOTHECA,rotifer,NA,NA,COLLOTHECA,NA
Tr,CONOCHILUS,rotifer,NA,NA,CONOCHILUS,NA
Tr,FILINIA TERMINALIS,rotifer,NA,NA,FILINIA TERMINALIS,NA
Tr,GASTROPUS STYLIFER,rotifer,NA,NA,GASTROPUS STYLIFER,NA
Tr,KELLICOTTIA LONGISPINA,rotifer,NA,NA,KELLICOTTIA LONGISPINA,NA
Tr,KERATELLA COCHLEARIS,rotifer,NA,NA,KERATELLA COCHLEARIS,NA
Tr,KERATELLA CRASSA,rotifer,NA,NA,KERATELLA CRASSA,NA
Tr,KERATELLA EARLINAE,rotifer,NA,NA,KERATELLA EARLINAE,NA
Tr,KERATELLA HIEMALIS,rotifer,NA,NA,KERATELLA HIEMALIS,NA
Tr,KERATELLA QUADRATA,rotifer,NA,NA,KERATELLA QUADRATA,NA
Tr,MONOSTYLA LUNARIS,rotifer,NA,NA,MONOSTYLA LUNARIS,NA
Tr,NOTHOLCA FOLIACEA,rotifer,NA,NA,NOTHOLCA FOLIACEA,NA
Tr,POLYARTHRA MAJOR,rotifer,NA,NA,POLYARTHRA MAJOR,NA
Tr,POLYARTHRA REMATA,rotifer,NA,NA,POLYARTHRA REMATA,NA
Tr,POLYARTHRA VULGARIS,rotifer,NA,NA,POLYARTHRA VULGARIS,NA
Tr,SYNCHAETA,rotifer,NA,NA,SYNCHAETA,NA
Tr,TRICHOCERCA BIROSTRIS,rotifer,NA,NA,TRICHOCERCA BIROSTRIS,NA
Tr,TRICHOCERCA MULTICRINIS,rotifer,NA,NA,TRICHOCERCA MULTICRINIS,NA
Tr,TRICHOCERCA ROUSSELETI,rotifer,NA,NA,TRICHOCERCA ROUSSELETI,NA
WI,CERIODAPHNIA DUBIA,NA,NA,NA,CERIODAPHNIA DUBIA,NA
WI,COPEPOD NAUPLII,nauplii,NA,NA,COPEPOD NAUPLII,NA
WI,COPEPODITES,nauplii,NA,NA,COPEPODITES,NA
WI,ACANTHOCYCLOPS,cyclopoid,NA,NA,ACANTHOCYCLOPS,NA
WI,DIACYCLOPS THOMASI,cyclopoid,NA,NA,DIACYCLOPS THOMASI,NA
WI,MESOCYCLOPS EDAX,cyclopoid,NA,NA,MESOCYCLOPS EDAX,NA
WI,TROPOCYCLOPS,cyclopoid,NA,NA,TROPOCYCLOPS,NA
WI,TROPOCYCLOPS PRASINUS MEXICANUS,cyclopoid,NA,NA,TROPOCYCLOPS PRASINUS MEXICANUS,NA
WI,DIAPTOMID,calanoid,NA,NA,DIAPTOMID,NA
WI,AGLAODIAPTOMUS CLAVIPES,calanoid,NA,NA,AGLAODIAPTOMUS CLAVIPES,NA
WI,CHYDORUS,cladocera,NA,NA,CHYDORUS,NA
WI,DAPHNIA,daphnia,NA,NA,DAPHNIA,NA
WI,DAPHNIA MENDOTAE,daphnia,NA,NA,DAPHNIA MENDOTAE,NA
WI,DAPHNIA PARVULA,daphnia,NA,NA,DAPHNIA PARVULA,NA
WI,DAPHNIA RETROCURVA,daphnia,NA,NA,DAPHNIA RETROCURVA,NA
WI,DAPHNIA PULICARIA,daphnia,NA,NA,DAPHNIA PULICARIA,NA
WI,DIAPHANOSOMA BIRGEI,daphnia,NA,NA,DIAPHANOSOMA BIRGEI,NA
WI,LEPTODORA KINDTI,cladocera,NA,NA,LEPTODORA KINDTI,NA
WI,SINOBOSMINA FRYEI,cladocera,NA,NA,SINOBOSMINA FRYEI,NA
WI,BYTHOTREPHES LONGIMANUS ,cladocera,NA,NA,BYTHOTREPHES LONGIMANUS ,NA
