waterbody_name,year,events
Trout Bog,2011,NA
Trout Bog,2012,NA
Trout Bog,2013,NA
Trout Bog,2014,NA
Trout Bog,2015,NA
Trout Bog,2016,NA
Trout Bog,2017,NA
Trout Bog,2018,NA
Trout Bog,2019,NA
Crystal Bog,1981,NA
Crystal Bog,1982,NA
Crystal Bog,1983,NA
Crystal Bog,1984,NA
Crystal Bog,1985,NA
Crystal Bog,1986,NA
Crystal Bog,1987,NA
Crystal Bog,1988,NA
Crystal Bog,1989,NA
Crystal Bog,1990,NA
Crystal Bog,1991,NA
Crystal Bog,1992,NA
Crystal Bog,1993,NA
Crystal Bog,1994,NA
Crystal Bog,1995,NA
Crystal Bog,1996,NA
Crystal Bog,1997,NA
Crystal Bog,1998,NA
Crystal Bog,1999,NA
Crystal Bog,2000,NA
Crystal Bog,2001,NA
Crystal Bog,2002,NA
Crystal Bog,2003,NA
Crystal Bog,2004,NA
Crystal Bog,2005,NA
Crystal Bog,2006,NA
Crystal Bog,2007,NA
Crystal Bog,2008,NA
Crystal Bog,2009,NA
Crystal Bog,2010,NA
Crystal Bog,2011,NA
Crystal Bog,2012,NA
Crystal Bog,2013,NA
Crystal Bog,2014,NA
Crystal Bog,2015,NA
Crystal Bog,2016,NA
Crystal Bog,2017,NA
Crystal Bog,2018,NA
Crystal Bog,2019,NA
Lake Mendota,1995,NA
Lake Mendota,1996,NA
Lake Mendota,1997,NA
Lake Mendota,1998,NA
Lake Mendota,1999,NA
Lake Mendota,2000,NA
Lake Mendota,2001,NA
Lake Mendota,2002,NA
Lake Mendota,2003,NA
Lake Mendota,2004,NA
Lake Mendota,2005,NA
Lake Mendota,2006,NA
Lake Mendota,2007,NA
Lake Mendota,2008,NA
Lake Mendota,2009,NA
Lake Mendota,2010,NA
Lake Mendota,2011,NA
Lake Mendota,2012,NA
Lake Mendota,2013,NA
Lake Mendota,2014,NA
Lake Mendota,2015,NA
Lake Mendota,2016,NA
Lake Mendota,2017,NA
Lake Mendota,2018,NA
Lake Monona,1995,NA
Lake Monona,1996,NA
Lake Monona,1997,NA
Lake Monona,1998,NA
Lake Monona,1999,NA
Lake Monona,2000,NA
Lake Monona,2001,NA
Lake Monona,2002,NA
Lake Monona,2003,NA
Lake Monona,2004,NA
Lake Monona,2005,NA
Lake Monona,2006,NA
Lake Monona,2007,NA
Lake Monona,2008,NA
Lake Monona,2009,NA
Lake Monona,2010,NA
Lake Monona,2011,NA
Lake Monona,2012,NA
Lake Monona,2013,NA
Lake Monona,2014,NA
Lake Monona,2015,NA
Lake Monona,2016,NA
Lake Monona,2017,NA
Lake Monona,2018,NA
Fish Lake,1997,NA
Fish Lake,1999,NA
Fish Lake,2000,NA
Fish Lake,2002,NA
Fish Lake,2003,NA
Fish Lake,2007,NA
Fish Lake,2008,NA
Fish Lake,2009,NA
Fish Lake,2010,NA
Fish Lake,2011,NA
Fish Lake,2012,NA
Fish Lake,2013,NA
Fish Lake,2014,NA
Fish Lake,2015,NA
Fish Lake,2016,NA
Fish Lake,2017,NA
Fish Lake,2018,NA
Lake Wingra,2007,NA
Lake Wingra,2008,Carp removal
Lake Wingra,2009,NA
Lake Wingra,2010,NA
Lake Wingra,2011,NA
Lake Wingra,2012,NA
Lake Wingra,2013,NA
Lake Wingra,2014,NA
Lake Wingra,2015,NA
Lake Wingra,2016,NA
Lake Wingra,2017,NA
Lake Wingra,2018,NA
